Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514,ner_results
Arena Eleven,Navdeep Kohli,"Located in midst of SLN terminus this place is a sports bar where you can enjoy a chilled beer along with a good match screening .
The service is a bit slow also the food is mediocre. The ambience is good though .
The manager is good who took feedback and there in ensured everything was up to mark .
Fish Tikka and crispy corn are good and goes well along with a good drink .",4,"92 Reviews , 493 Followers",5/24/2019 20:26,0,,"{'food': ['Fish Tikka', 'Crispy Corn'], 'drink': ['Chilled Beer']}"
Arena Eleven,N K KIRAN,"I HV been here yesterday for lunch, the hospitality here was good. I ordered chicken tikka, salt & pepper prawns which was Lovely, njoyed with beer. Will come next time again 👍",5,1 Review,5/23/2019 11:20,0,,"{'food': ['chicken tikka', 'salt & pepper prawns'], 'drink': ['beer']}"
Arena Eleven,Neelanjana Jaswal,Great food and good ambience . Multiple screens makes he experience thrilling. Must try once .... The staff was courteous and friendly.. good service,5,"1 Review , 1 Follower",5/22/2019 22:24,0,,"{'food': ['Great food'], 'drink': ['good ambience', 'multiple screens', 'thrilling', 'must try']}"
Arena Eleven,Mohit,"The food, ambience, service everything was great.
Gobi Manchurian was awesome. Tandoori chicken was good too. I would highly recommend to visit the place. ;)",5,3 Reviews,5/22/2019 22:19,0,,"{'food': ['Gobi Manchurian', 'Tandoori chicken'], 'drink': []}"
Arena Eleven,Lovely Deepu,"It was beautiful ambience and view are awsome.Nice Place to hangout with friends.Best Place to visit again.
Nice service start was polite i love the Place i will back soon again",5,"1 Review , 1 Follower",5/22/2019 22:00,0,,"{'food': ['ambience', 'view'], 'drink': []}"
Arena Eleven,Vincent Reeves,"The place is amazing and we have great time, once of the place we spent good time together. We celebrated my fbest friends birthday here and to was superb. We had a great time. Food and starters were amazing.",5,1 Review,5/21/2019 23:42,0,,"{'food': ['food and starters'], 'drink': []}"
Arena Eleven,Rakesh Marella Rakhi,Very polite good service great atmosphere and ambience. Staff is well knowledgeable. Eatable is pretty tasty. Suggested place for everyone rocking guys,5,2 Reviews,5/21/2019 23:41,0,,"{'food': ['Eatable is pretty tasty'], 'drink': []}"
Arena Eleven,Ñ Tam Saikumar,I like the place very much. It is the good place to hangout with friends. Out side sitting was very very beautiful I love this place. I’ll come back again to this place,5,"1 Review , 33 Followers",5/21/2019 21:07,1,,"{'food': ['I', 'like', 'the', 'place'], 'drink': []}"
Arena Eleven,Svkrishna Reddy,"It's really a superb place to view and drink
Food is really superb with amazing offers
Really love this place really amazing love live screening very much exciting to for next time love u arena eleven",5,1 Review,5/20/2019 21:44,0,,"{'food': ['really', 'superb', 'place', 'view', 'drink', 'amazing', 'offers'], 'drink': ['really', 'love', 'this', 'place', 'really', 'amazing', 'love', 'live', 'screening', 'very', 'much', 'exciting', 'for', 'next', 'time', 'love', 'u', 'arena', 'eleven']}"
Arena Eleven,Spanchaity,Best place to chill out with few beers. Went out on a sunday nyt here with my friends and it was just fun. Inside outside sitting both are great. Food is also good. I go here now whenever i just want to chill.,5,"11 Reviews , 3 Followers",5/19/2019 23:00,0,,"{'food': ['food is also good'], 'drink': []}"
