review_id,user_id,business_id,stars,useful,funny,cool,text,date,ner_results
Z7B4hkD9tMR89NCFcrS8lQ,y_LS2MZJB7J9fUfRtEkV_w,6CsLAjWXFlLpErBZEmGQ5g,4,0,0,0,"My girlfriend and I went to eat here she was there a few times. Small friendly in the neighborhood to locals. For it's size they were busy with takeout dining in. The staff friendly authentic Indonesian food. Spicy dishes tasty new for me but liked it all great prices would recommend if you can find it lol, parking is tough but worth it. Enjoy.....don't take credit cards bring cash.",2015-05-30 23:03:15,"{'food': ['spicy dishes', 'tasty new for me'], 'drink': []}"
Et2Qbr72bEkVjOCJfGJZLA,TMvOxVVqCGAcBQOYoigiMQ,IH_ZeeTh13jQURbh31d1Kw,4,2,1,2,"Whoa...the biggest food truck I've ever seen. You can probably fit a bed in there!

That probably reflects Mr. Bui's success. He (and others) serves things on a long French-like roll in large portions. I got something with egg, sausages, and mushrooms plus some Bui sauce. It was a short wait in the rain, and Mr. Bui had a yellow umbrella set up outside. Even at 10 30 AM, there were about 5-10 people at any one time on a Sunday morning at 10:30 AM.

This place is open even on the weekends, an affordable and convenient way to cure a hangover.",2010-11-28 00:20:00,
XwfP-uSVWF6us0u36G_S6g,ThNLDo7ki5wgI_LNWsBweQ,hUX1yAimviBIhb21D_KtcQ,2,0,0,0,"Not really one to write bad reviews but this place is not good at all. Our server was super nice though only plus. The salsa tastes like weird BBQ sauce, the chips tasted stale. And our tacos were pretty much inedible, Taco Bell would of been fresher for sure. Totally disappointing if your looking for Mexican  don't go here, every type of meat we got in our tacos (chicken, ground beef, pulled pork) tasted and looked old and weird.",2017-10-03 23:36:45,"{'food': ['salsa', 'chips', 'tacos'], 'drink': []}"
ZqcjSM-XaE2IzwESGWcxbw,32STjUsg4y0odwGmmpVQ5w,bTve2mwLk5Zc01vRKqc2KQ,4,0,0,0,"i love their sandwiches and food selection in general.  a comfortable place to read or hang out.  the ladies behind the counter can be a bit sassy, and i don't generally ask for a side of sass. prices are typical. who doesn't want to walk down fabric row?",2010-01-15 22:05:05,"{'food': ['sandwiches', 'food selection'], 'drink': []}"
uR8zPbsoL0gTGu49eZ5tLg,6eC3-_eRVoXRFAScfgZL6A,mbglgx3nbRRPKxh0SxDjNQ,4,0,0,0,"Solid joint. Walked in for lunch. Portions are generous. Had the yellow rice, black beans, stew chicken, and fried plantains. Everything was exactly what I was looking for, flavorful Dominican food! Service was fast and friendly. Only thing missing is better drink options.",2016-11-29 20:27:05,"{'food': ['yellow rice', 'black beans', 'stew chicken', 'fried plantains'], 'drink': []}"
JeA_hOSDxe903mZ_0H-JAw,v-ZoFSrXB1n7YrQ3qFXHlQ,DRnvSL_I8MLuTLhl6O4JBQ,2,2,3,0,"What a disappointment.  We went in on a Friday evening a few weeks ago with a large group and were not at all impressed.  I'll get to the positives first:

1. It is one of the larger dining rooms on Passyunk Ave, so it was a good choice for a large group

2. The bill was fairly inexpensive and the wait staff was accommodating
3. It was family friendly.  A few of my friends had small children and there were other tables with families, so it is a nice option for something casual if you have children and want to go out on Passyunk.

Now, on to the negatives:

1. The pizza dough was frozen!  We literally saw a staffer bring up stacks of frozen pizza dough from the basement through the dining room.  Not the way to make a good impression when you have Birra, Brigantessa, Stogie Joe's and Marra's all within short walking distance.  Not to mention almost every pie that we ordered was burnt on the bottom.  The sauce and cheese were decent, but the crust just had that unmistakeable frozen quality to it.  

2. The antipasto dish clearly came from a jar.  The artichoke hearts, mushrooms and roasted red peppers looked exactly like what you would see coming out of a jar....limp, covered in oil, etc.  

3.  The place is a BYOB.....yet they brought out small rocks glasses for our wine.  When asked if we could get some proper wine glasses (there were 8 adults and multiple bottles of wine after all), we were informed that they only have 4 wine glasses at the restaurant!  Really?   

With the over-abundance of quality restaurants on Passyunk Ave, I see no reason to ever go back here, especially with the aforementioned quality pizza places all within walking distance.",2015-08-12 14:56:07,"{'food': ['pizza dough', 'antipasto dish'], 'drink': ['wine']}"
JbI2XdT57W6tSBqNvjRqMw,wUKf9wve4y8kTym4usWFSg,wUnLSg_GKfEIQ5CQQ770_g,4,0,0,0,"I was very excited to try Vetri because of a mutual working relationship with Pennsylvania-headquartered All-Clad cookware. I also own one of Chef Marc Vetri's fabulous cookbooks ""Il Viaggo Di Vetri.""The townhouse which is home to the restaurant is cozy, warm, and intimate. I loved the chandelier from Murano in the center of the dining room. I was very impressed with the personalized tasting menu format. After a conversation on the phone to confirm dinner and also with a waitress prior to the meal, regarding culinary lines, dislikes, dietary restrictions, and personal preferences, I feel my dinner was perfectly prepared for me. I enjoyed every course. Chef Joel Myers nailed it!! The rustic Italian fare offered innovative flavors, delightful and unique  handcrafted pasta, and delicious decadent desserts. I especially enjoyed the seasonal vegetables, persimmon salad, zucca caramelle, chestnut fettuccine with wild boar ragu, corzetti with charred Trevino ragu, salted crusted Branzino, and the chocolate polenta souffle. The vegetables and fruit were seasonal and fresh. The grains used in the pasta, bread, and pastry are house milled. I also enjoyed local cheese before the dolce course. I highly recommend selecting the wine pairing to elevate the dining experience. Wines are specifically paired and compliment explosive-flavored entrés from the chef's tasting menu. I appreciated the attention to detail such as the proper flatware for each course and the varietal-specific stemware. I also enjoyed the to-go bag with yummy biscotti. The restaurant and service is gracious and they desire to please. The dining experience at Vetri reminds me of similar experiences at Michelin-starred restaurants in Europe but the service flow wasn't as fluid or smooth. Expect a fabulous meal.  This restaurant has heart and soul.  I appreciated not being rushed during the meal or feeling pressure (like most US restaurants) that the tables need to turn. Enjoy and appreciate the total dining-experience at Vetri. (PS...bring a healthy appetite because this is an epic feast!)  The perfect place to dine to celebrate a special occasion. The classes (taught upstairs) look amazing. For information check Vetricucina.com. www.vetriristorante.com @vetricucina",2016-11-28 18:33:11,"{'food': ['pasta', 'bread', 'pastry'], 'drink': []}"
MX0KKIPogdbAI0Y8HEMb3g,ipz5Yrcur-TZ9w4qPQKmew,FHNIvNgh3fS7VZQq2Y3dsA,5,0,0,0,BEST RAMEN IN PHILLY! It is a treat when I end up here. The place is adorable and the food is fantastic!! I will continue to come back.,2017-07-11 21:15:02,"{'food': ['ramen'], 'drink': []}"
CLXU67IEAPpHhlEA2wFUEg,Pg5Dv8DwmPrPAZdZga1Zrw,IAyHcNx5IHoLf3V4dlgFCw,2,1,0,0,This restaurant used to be good but now the food is very average and the man that waited on us recently was so rude-he acted like he didn't want to be bothered doing his job,2015-08-10 21:40:54,"{'food': ['average'], 'drink': []}"
_iI_IwTxdFvWxZ7TfEjF3A,5gQi2KTmdCvJSVkBRLIKvQ,XBdaG2kQ2Iz9VNGPZokjYg,4,0,0,0,"Very very good food, the risotto is fantastic, small place you sometimes are sat almost too close to the people next to you , but in terms of Italian food the place is very good",2011-06-04 23:02:46,"{'food': ['Very very good food', 'Risotto'], 'drink': []}"
s6-0RmDHKSepf0K81y3mQw,7OVaOyexZL36yJA5VKt4nQ,d_tRshM-w6S4QxE4VVi8tQ,3,0,0,0,"Really enjoyed my turkey burger. General rule is avoid these but you could tell this wasn't some freezer burned hockey puck. Tomato aiolie was perfect. Rest of the menu was reasonably priced and looked pretty dependable. If your in the hood, in a rush, it would be a good bet.",2015-07-07 00:51:25,"{'food': ['turkey burger', 'tomato aiolie'], 'drink': []}"
rh7qI7jQr8o9kHFxV8pjqw,NUtIAX-ygn474tDg5nmesg,u7_3L1NBWgxhBM_B-cmmnA,3,1,0,0,"Was on the way Petco me and my parents saw this place was empty. No line! We weren't very hungry but had to get a pizza here. 
I had high hope about this pizzeria since I just had amazing experience at Vetri. How good would be! And Philly does have great pizza overall, this one might be too good to me to handle.

Got rotolo and margarita pizza. Both were very decent food. I just wouldn't wait for that or walk all the way to restaurant from my neighborhood. Pretty far to walk from center city..",2015-02-17 16:05:35,"{'food': ['pizza', 'rotolo', 'margarita'], 'drink': []}"
8dCcDktha6DDbektMmXLXQ,RNWJx8g-TIMVn1fpNFOCvA,3sdlpskDaXr1P59BYjGoFw,3,0,0,0,"I don't like to eat pizza or greasy food (because of the calories and fat, not the taste), so I am giving this an A-ok. But, as far as pizza places go, this one could be someone's 5.  I received a gift to use $10 at Giovani Pizza, and therefore I tried it.  I ordered a bunch of non-pizza options: fried broccoli, sweet potato fries, garlic bread, and a veggie hoagie. This is road trip food for our gang heading out of town today. Surprisingly for us, it worked well. 

The food tasted good, and we liked having a lot of options other than pizza to chose from. This is especially important to us because we find that we often go out in groups and everyone wants something unique.  Anyway, the delivery service came right on time, the price was right, the options plentiful, and the food was good (again, only if you like grease and can afford the calories).  So, give this place a try if you like this kind of food.",2012-08-17 16:15:16,"{'food': ['fried broccoli', 'sweet potato fries', 'garlic bread', 'veggie hoagie'], 'drink': []}"
VG3gr095FV-vUVD40PJrcA,27M0B4ENG7sI-Z2gCuqANA,RI33oswGDkIsc0fuQ8GzjA,2,3,3,1,"Still not impressed. The slabs are virtually tasteless. Onions are cooked, but aren't caramelized at all, and add no substantial flavor. Whiz comes in and saves the sandwich from being downright bad. 

I had a sample of the 24hr steak shop's offering at the cheesesteak festival and thought it was unimpressive then as well. 

There are too many really wonderful steak shops in the surrounding (10 block) area to waste any time here.",2016-07-05 23:01:05,"{'food': ['steak', 'cheesesteak'], 'drink': []}"
CsJh357RNdbkRc9JF9sC2Q,4iOc4Fo-h6gZ-2zAJEM78g,nl_La1sCrZG0xq0HNt4WsQ,5,1,0,1,"I freaking love this place! I ate here twice when I visited Philly and ended up getting the same thing twice, the Veggie Hoagie (vegan of course). The second time around I had the Vegan cherry cheese cake...it tasted like the real thing, I was so impressed! 

Recently my boyfriend was on a business trip in Philly, I begged him to bring be back my beloved hoagie (and he did)...it still tasted amazing after traveling all the way to Chicago.  I heart Gianna's!!!",2009-10-28 01:50:07,"{'food': ['Veggie Hoagie', 'Vegan cherry cheese cake'], 'drink': []}"
9H0ktCGCu2XxfrQG4pFbmA,KSev0eGgV-I7s3y220k_CQ,EtKSTHV5Qx_Q7Aur9o4kQQ,5,1,0,0,Got a table outside with no wait - at 7pm on a Saturday. I ordered the Chicago Dog (it actually comes with two). She got the Village Burger and we got the Duck Fat Fries to share. All was outstanding - and they even had a canned Gose to boot! I barely ever find those around.,2016-06-26 00:18:20,"{'food': ['Chicago Dog', 'Village Burger', 'Duck Fat Fries'], 'drink': ['Gose']}"
